Domain,Problem,SPC,v8.2.0,v8.1.0,v8.0.0,v7.5.0,v7.4.0,v7.3.0,v7.2.0,v7.1.0,v7.0.0,v6.4.0,v6.3.0,v6.2.0,v6.1.0,v6.0.0,v5.5.0,v5.4.0,v5.3.0,v5.2.0,v5.1.0,v5.0.0,v4.1.0,v4.0.1,v4.0.0,v3.7.0,v3.5.0,v3.4.0,v3.3.0,v3.2.0,v3.1.0,v2.7.0,v2.6.0,v2.5.0,v2.4.0,v2.3.0.,v2.3.0,v2.2.1,v2.2.0,v2.1.0,v2.0.0,.0
AGT,AGT001+1.p,FOF_THM_RFO_SEQ,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT001+2.p,FOF_THM_RFO_SEQ,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT002+1.p,FOF_THM_RFO_SEQ,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT002+2.p,FOF_THM_RFO_SEQ,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT003+1.p,FOF_THM_RFO_SEQ,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.21,0.29,0.29,,,,,,,,,,,,
AGT,AGT003+2.p,FOF_THM_RFO_SEQ,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.10,0.11,0.21,0.21,,,,,,,,,,,,
AGT,AGT004+1.p,FOF_THM_RFO_SEQ,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,,,,,,,,,,
AGT,AGT004+2.p,FOF_THM_RFO_SEQ,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT005+1.p,FOF_THM_RFO_SEQ,0.31,0.31,0.31,0.31,0.33,0.33,0.34,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.47,0.50,0.50,,,,,,,,,,,,
AGT,AGT005+2.p,FOF_THM_RFO_SEQ,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.10,0.11,0.16,0.21,,,,,,,,,,,,
AGT,AGT006+1.p,FOF_THM_RFO_SEQ,0.72,0.72,0.72,0.72,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.87,0.87,0.87,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,,,,,,,,,,,,
AGT,AGT006+2.p,FOF_THM_RFO_SEQ,0.67,0.67,0.67,0.67,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.83,0.83,0.83,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,,,,,,,,,,,,
AGT,AGT007+1.p,FOF_THM_RFO_SEQ,0.75,0.75,0.75,0.75,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,,,,,,,,,,,,,
AGT,AGT007+2.p,FOF_THM_RFO_SEQ,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.87,0.87,0.87,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.93,,,,,,,,,,,,
AGT,AGT008+1.p,FOF_THM_RFO_SEQ,0.81,0.81,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.85,0.88,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.92,0.93,0.93,0.93,0.93,,,,,,,,,,,,
AGT,AGT008+2.p,FOF_THM_RFO_SEQ,0.75,0.78,0.78,0.78,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.83,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.88,0.89,0.89,0.89,0.93,,,,,,,,,,,,
AGT,AGT009+1.p,FOF_THM_RFO_SEQ,0.58,0.58,0.58,0.58,0.61,0.61,0.61,0.61,0.61,0.67,0.75,0.75,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,,,,,,,,,,,,
AGT,AGT009+2.p,FOF_THM_RFO_SEQ,0.61,0.61,0.61,0.61,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.74,0.74,0.79,,,,,,,,,,,,
AGT,AGT010+1.p,FOF_THM_RFO_SEQ,0.72,0.72,0.72,0.72,0.74,0.74,0.74,0.74,0.74,0.79,0.79,0.79,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.86,0.86,0.86,0.86,,,,,,,,,,,,
AGT,AGT010+2.p,FOF_THM_RFO_SEQ,0.67,0.67,0.67,0.67,0.70,0.70,0.70,0.70,0.70,0.71,0.71,0.71,0.78,0.78,0.78,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,,,,,,,,,,,,
AGT,AGT011+1.p,FOF_THM_RFO_SEQ,0.75,0.75,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.79,0.79,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,,,,,,,,,,,,
AGT,AGT011+2.p,FOF_THM_RFO_SEQ,0.69,0.69,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,,,,,,,,,,,,
AGT,AGT012+1.p,FOF_THM_RFO_SEQ,0.61,0.61,0.61,0.61,0.65,0.65,0.65,0.65,0.65,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,,,,,,,,,,,,
AGT,AGT012+2.p,FOF_THM_RFO_SEQ,0.64,0.64,0.64,0.64,0.65,0.65,0.65,0.65,0.65,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,,,,,,,,,,,,
AGT,AGT013+1.p,FOF_THM_RFO_SEQ,0.72,0.72,0.75,0.75,0.78,0.78,0.78,0.78,0.78,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.83,0.83,0.86,0.86,0.86,0.86,0.86,0.86,,,,,,,,,,,,
AGT,AGT013+2.p,FOF_THM_RFO_SEQ,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.75,0.75,0.75,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,,,,,,,,,,,,
AGT,AGT014+1.p,FOF_THM_RFO_SEQ,0.17,0.17,0.19,0.19,0.20,0.20,0.20,0.20,0.20,0.20,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,,,,,,,,,,,,
AGT,AGT014+2.p,FOF_THM_RFO_SEQ,0.11,0.11,0.11,0.11,0.12,0.15,0.15,0.15,0.15,0.15,0.15,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.20,0.20,0.20,0.20,0.20,0.21,0.21,0.21,,,,,,,,,,,,
AGT,AGT015+1.p,FOF_THM_RFO_SEQ,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.19,0.19,0.19,0.20,0.20,0.20,0.20,0.20,0.21,0.21,0.21,,,,,,,,,,,,
AGT,AGT015+2.p,FOF_THM_RFO_SEQ,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,,,,,,,,,,,,
AGT,AGT016+1.p,FOF_THM_RFO_SEQ,0.17,0.19,0.19,0.19,0.19,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,,,,,,,,,,,,
AGT,AGT016+2.p,FOF_THM_RFO_SEQ,0.11,0.14,0.14,0.14,0.16,0.17,0.17,0.17,0.17,0.17,0.19,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.21,0.21,0.21,,,,,,,,,,,,
AGT,AGT017+1.p,FOF_THM_RFO_SEQ,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.21,,,,,,,,,,,,
AGT,AGT017+2.p,FOF_THM_RFO_SEQ,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT018+1.p,FOF_THM_RFO_SEQ,0.61,0.61,0.61,0.61,0.65,0.65,0.65,0.65,0.65,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,,,,,,,,,,,,
AGT,AGT018+2.p,FOF_THM_RFO_SEQ,0.64,0.64,0.64,0.64,0.65,0.65,0.65,0.65,0.65,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,,,,,,,,,,,,
AGT,AGT019+1.p,FOF_THM_RFO_SEQ,0.61,0.61,0.61,0.61,0.70,0.70,0.70,0.70,0.70,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,,,,,,,,,,,,
AGT,AGT019+2.p,FOF_THM_RFO_SEQ,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,,,,,,,,,,,,
AGT,AGT020+1.p,FOF_THM_RFO_SEQ,0.61,0.61,0.64,0.64,0.65,0.65,0.65,0.65,0.65,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,,,,,,,,,,,,
AGT,AGT020+2.p,FOF_THM_RFO_SEQ,0.61,0.61,0.61,0.61,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.79,0.79,0.79,,,,,,,,,,,,
AGT,AGT021+1.p,FOF_THM_RFO_SEQ,0.81,0.81,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.92,0.93,0.93,0.93,0.93,,,,,,,,,,,,
AGT,AGT021+2.p,FOF_THM_RFO_SEQ,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.88,0.89,0.89,0.89,0.93,,,,,,,,,,,,
AGT,AGT022+1.p,FOF_THM_RFO_SEQ,0.67,0.67,0.72,0.72,0.74,0.74,0.74,0.74,0.74,0.75,0.75,0.75,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.89,0.93,,,,,,,,,,,,
